,Объем багажника минимальный [л],Объем багажника максимальный [л],Полная масса [кг],Грузоподъёмность [кг],Максимальный крутящий момент [Н*м],Мощность двигателя [л.с.],Объём топливного бака [л],Разгон до 100 км/ч [сек],Максимальная скорость [км/ч],Расход топлива в городе на 100 км [л],Расход топлива на шоссе на 100 км [л],Расход топлива в смешанном цикле на 100 км [л]
1435,460.0,470.0,2718.601268164179,520.0,317.1961955074623,189.24431175820942,87.20253632835848,11.174114134776133,184.02088771492546,17.03696380477622,10.184557992238865,12.716710171940374
1436,460.0,470.0,1700.584444399817,520.0,173.72296293321122,120.86148146660561,53.0,12.222365433784699,156.8614814666056,12.182972839109484,8.091486419554741,9.591486419554741
1437,460.0,470.0,2713.911697660804,520.0,331.2649070175886,173.29977204673293,78.60573485376835,10.087064187135697,178.30286742688418,13.512007198818925,8.238497900577785,10.168784643266203
1438,460.0,470.0,2712.7295937485633,520.0,332.90050313031634,167.91582187083313,74.91326874741367,10.181632500114949,175.63775624913788,11.018622812227,6.618367499885053,8.25484718731321
1439,460.0,470.0,2760.0,520.0,333.6996951500889,211.89649391838373,90.0,12.081341462664295,185.0,18.453353656660738,10.943003048499111,14.2
1440,460.0,470.0,2650.0,520.0,233.0,141.0,92.0,11.989058341166908,165.0,16.582249334586706,10.604437666353324,14.708875332706647
1441,460.0,470.0,2410.0,520.0,198.04387066694017,84.0,92.0,9.6,136.81754826677607,13.833025819987693,8.647806466652993,10.318245173322394
1442,460.0,470.0,2760.0,520.0,318.0,203.0,90.0,10.763760263153381,189.82288815790727,17.18501368420451,10.714168947367417,13.1389646052604
1443,460.0,470.0,2390.2569180778078,520.0,211.52964369183587,102.75592782608265,86.40612678871219,10.422628413424677,146.8843868649865,14.489723276887691,9.125197594202755,11.614920871090444
1444,460.0,470.0,2720.0,520.0,315.0523153504303,197.4889360957315,92.0,9.6,185.0,18.627364204672407,11.320523153504304,14.034205255840504
1445,460.0,470.0,1725.0,520.0,190.0,129.0,53.0,11.008733919975798,166.32393672738274,12.294085061809382,8.09408506180938,9.59408506180938
1446,460.0,470.0,2774.3721807884494,520.0,315.1255638423101,212.7791355913371,90.0,9.90953005663528,200.7791355913371,13.722537514714377,8.184868362021344,13.674887231537978
1447,460.0,470.0,2337.367545301956,520.0,240.8003327852568,156.8215255369439,75.0,12.398940362415646,166.26324546980442,16.47897364094133,10.526324546980442,14.247350906039115
1448,460.0,470.0,3030.0,520.0,440.4308003403811,200.23886057144722,88.0,10.501524641945407,180.10164279636052,9.64116533252601,7.220328559272104,8.12744355501734
1449,500.0,470.0,2510.0,520.0,252.17142828600998,120.4771427287045,74.0,12.155999940062099,150.30428570715026,11.017142828601,7.756428560725375,8.504285707150249
1450,460.0,470.0,1842.4391790836587,520.0,161.46350745019518,114.73175372509759,53.0,11.902432836653654,155.7317537250976,11.048783581673174,8.0,9.0
1451,460.0,470.0,2650.0,520.0,255.0,160.17369069842744,92.0,12.1,170.0,16.2,10.7,14.9
1452,460.0,470.0,2350.0,520.0,236.0,150.0,75.0,12.48484878903682,165.0,16.1,10.4,14.5
1453,460.0,470.0,2814.378754402178,520.0,260.34318683967325,173.9496521779852,88.43787544021781,12.545265569972774,174.45265569972773,15.887575088043564,10.065681316032672,12.473672150136133
1454,460.0,470.0,2814.2208027612774,520.0,258.7840785503294,169.66391454647732,88.42208027612773,12.283439792904202,171.834397929042,15.588959861936136,9.926135951677647,12.094479930968067
1455,415.0,470.0,2510.0,520.0,318.25573994564854,202.15344396738914,71.0,11.7,185.0,17.5,10.8,14.2
